256088012293828608	positive
263799250171867138	neutral
264239636799430656	neutral
263811257877028864	neutral
262131368509718528	neutral
259537985530376192	positive
232926562868133888	negative
263376518372270080	positive
263348378891587584	negative
264120033440067585	neutral
246663760150941696	neutral
194921132615401472	positive
263868773579255809	negative
107173682652250112	neutral
264052307749122049	positive
260189318121943040	neutral
244736544735375360	positive
263692995818299392	neutral
264024226997084162	neutral
102525887077040128	neutral
259513924079190016	neutral
263679178258411521	positive
264220936801222656	negative
263678990080954368	negative
255896489891622913	positive
263598002806079489	neutral
261331545586012161	positive
231535559942746112	neutral
246064617514737664	neutral
264252192494600192	neutral
264105211218505728	neutral
233570948001976320	positive
248267308982747136	positive
249069069339336704	positive
206536587272663040	positive
227901556580818944	neutral
263732811859640320	neutral
263983521956249600	negative
100593691915329536	neutral
263223498812567552	neutral
103172528138240000	positive
262064351593246720	neutral
101135628594462720	positive
264214955862138881	positive
264253100032929792	positive
263752902869413889	neutral
263345039021846530	negative
217966300725657601	positive
112685371493593088	neutral
263994648844988417	neutral
257880381406199808	positive
264196818223644672	negative
262675141434146816	positive
264096683766456320	negative
210443076760641537	neutral
254760285984919552	neutral
260188814633492480	neutral
249880400254599168	neutral
263361946961719296	positive
258964839559475200	neutral
251171324863602688	positive
263367189313228800	neutral
263474714209574913	neutral
100003931962355713	positive
236121435851071490	neutral
260925968720490496	positive
259127230855249920	neutral
181181802910715904	negative
264259009274576896	positive
264219432371515393	neutral
261826233711591424	positive
263768463875649536	negative
258062095424315392	positive
264233884986798080	positive
263828764260200448	negative
259978843249594369	positive
226815993199079424	positive
222708587808555008	positive
264237208289038337	negative
254689318109593600	positive
115548931609468928	positive
263969983485333505	neutral
253930051618365441	neutral
256371268687900672	negative
175147659059929089	positive
247741813962723328	positive
264249515090010112	neutral
263945729268121600	neutral
264222878323597312	neutral
103322649186410496	negative
263696309167464450	positive
264133580995842050	positive
247902170995888129	negative
262281252961398785	neutral
263743470093619200	negative
256715559893356544	neutral
263356567351603201	positive
263011676046106625	positive
264031277454327810	positive
253403686590636033	neutral
261017444007677952	neutral
198134417053585408	positive
100334248447328256	neutral
229923387307331584	negative
264211650557652994	negative
264143428986748928	neutral
261011809081896960	positive
264182542364725248	neutral
264221064362610688	neutral
264101633720451072	neutral
258436080972476416	negative
264110966025908224	positive
261519616621297668	neutral
263940141574402048	positive
259181677333581824	positive
254737518690443264	positive
263520300451389440	negative
199403471752003584	positive
237001732834594816	neutral
263086410012164096	neutral
232979889391816704	positive
207428028366733312	positive
258968226287984641	neutral
262165205033840642	neutral
173976647131856897	positive
259421071340621824	neutral
248718821664362496	negative
262387306621722624	positive
263388362063351809	neutral
106871108430594048	neutral
100003474774822912	neutral
216017882012856320	neutral
262296481044783104	neutral
264246162444402688	positive
258501839958466560	neutral
263950048587558912	neutral
260191581771018242	neutral
261944448370483200	positive
259183664049565696	neutral
258152859961552896	neutral
263681897807364097	negative
100062699374919681	negative
103506327887810560	positive
100396808227921920	neutral
231779680938766336	positive
262920501540827138	neutral
264149985107521536	neutral
102462990133112832	negative
264007773921083392	neutral
262142704748724224	positive
257131299230318592	negative
263924299008704512	neutral
250210199653199874	positive
103278911231758336	positive
109002569942175744	neutral
103265197539590145	negative
261665766087213056	positive
262090149490475009	negative
263711757435011073	neutral
245048714719285248	negative
245532165637545985	negative
230664462380720130	neutral
264162995209379841	positive
256380364044505089	neutral
264252085573414912	positive
263827039407185921	neutral
262726878052380672	negative
